Sample,Build size (MB),Build file count,Main bundle file,Main bundle size (MB),Main bundle gzipped size (MB),Main bundle brotli compressed size (MB),Load time (ms),Total runtime (ms),Loaded size (MB),Total JS requests,JS heap size (MB)
Angular 14.0.2,7.86,210,main.2ae22a85e3580bc0.js,1.70,0.47,0.39,6394,10642,5.32,40,25.25
React 18.2.0,7.23,289,index.e901f9e2.js,1.61,0.45,0.37,6060,9552,5.04,128,21.56
Vue 3.2.37,7.14,288,index.af688a89.js,1.52,0.43,0.35,5871,9180,4.95,216,22.15
Rollup 2.75.6,6.97,287,main.js,1.41,0.39,0.31,7386,11743,4.82,304,20.50
Webpack 5.73.0,7.90,206,index.js,1.54,0.41,0.33,6064,9234,5.05,337,20.71
