Sample,Build size (MB),Build file count,Main bundle file,Main bundle size (MB),Main bundle gzipped size (MB),Main bundle brotli compressed size (MB),Load time (ms),Total runtime (ms),Loaded size (MB),Total JS requests,Total JS size (MB),Total HTTP requests,JS heap size (MB)
esbuild 0.24.0,9.58,798,index.js,0.28,0.07,0.06,5677,18926,5.41,434,3.86,538,32.80
Angular 19.0.0,9.86,800,chunk-SLSDEE2Z.js,0.69,0.20,0.17,5835,18886,5.65,435,4.09,540,40.62
React 19.0.0,9.41,483,index-C4gj0zIp.js,1.63,0.47,0.38,5415,18827,5.54,179,4.00,283,25.87
Vue 3.5.12,9.28,482,index-T2jHENPi.js,1.50,0.43,0.35,5411,18452,5.42,179,3.87,283,37.13
Rollup 4.24.4,9.04,481,main.js,1.40,0.39,0.31,5800,18837,5.25,179,3.71,282,38.99
Webpack 5.96.1,10.80,325,index.js,1.52,0.42,0.33,5636,18660,5.76,72,4.22,176,26.14
