Sample,Build size (MB),Build file count,Main bundle file,Main bundle size (MB),Main bundle gzipped size (MB),Main bundle brotli compressed size (MB),Load time (ms),Total runtime (ms),Loaded size (MB),Total JS requests,JS heap size (MB)
Angular 15.2.6,8.38,241,main.f8409fbebd0010ab.js,1.79,0.50,0.41,10121,23262,5.44,50,25.03
React 18.2.0,7.50,359,index-2ad1b7dd.js,1.69,0.47,0.39,9750,22868,5.06,125,21.71
Vue 3.2.47,7.41,359,index-1c78af71.js,1.61,0.45,0.36,9103,22885,4.97,125,23.72
Rollup 3.17.2,7.24,358,main.js,1.49,0.41,0.33,10855,24897,4.82,125,26.44
Webpack 5.78.0,8.40,249,index.js,1.63,0.44,0.35,9082,22691,5.13,43,23.11
